iter	Passed	Remaining
649	1484	799
650	1487	797
651	1489	794
652	1491	792
653	1493	789
654	1495	787
655	1497	785
656	1499	782
657	1500	780
658	1503	777
659	1504	775
660	1506	772
661	1508	770
662	1511	768
663	1513	765
664	1515	763
665	1517	761
666	1519	758
667	1521	756
668	1523	753
669	1525	751
670	1527	749
671	1530	746
672	1532	744
673	1534	742
674	1536	739
675	1538	737
676	1541	735
677	1543	732
678	1545	730
679	1547	728
680	1549	725
681	1551	723
682	1553	720
683	1555	718
684	1557	716
685	1559	713
686	1561	711
687	1563	709
688	1565	706
689	1567	704
690	1569	701
691	1571	699
692	1573	697
693	1575	694
694	1577	692
695	1579	690
696	1581	687
697	1583	685
698	1585	682
699	1586	680
700	1588	677
701	1591	675
702	1593	673
703	1594	670
704	1596	668
705	1598	665
706	1600	663
707	1602	661
708	1605	658
709	1607	656
710	1609	654
711	1612	652
712	1614	649
713	1616	647
714	1618	645
715	1620	642
716	1623	640
717	1625	638
718	1627	636
719	1629	633
720	1631	631
721	1633	629
722	1636	626
723	1638	624
724	1640	622
725	1643	620
726	1645	617
727	1646	615
728	1648	612
729	1650	610
730	1653	608
731	1655	606
732	1657	603
733	1659	601
734	1660	598
735	1662	596
736	1664	594
737	1666	591
738	1668	589
739	1670	586
740	1672	584
741	1674	582
742	1675	579
743	1677	577
744	1679	575
745	1682	572
746	1684	570
747	1686	568
748	1688	565
749	1691	563
750	1692	561
751	1694	558
752	1696	556
753	1699	554
754	1701	552
755	1702	549
756	1705	547
757	1707	545
758	1709	542
759	1711	540
760	1713	538
761	1715	535
762	1718	533
763	1720	531
764	1722	529
765	1724	526
766	1726	524
767	1728	522
768	1731	519
769	1732	517
770	1734	515
771	1736	512
772	1738	510
773	1741	508
774	1743	506
775	1745	503
776	1747	501
777	1749	499
778	1751	496
779	1753	494
780	1756	492
781	1758	490
782	1760	487
783	1763	485
784	1765	483
785	1767	481
786	1769	478
787	1771	476
788	1773	474
789	1776	472
790	1778	470
791	1780	467
792	1783	465
793	1785	463
794	1787	460
795	1789	458
796	1791	456
797	1793	454
798	1795	451
799	1797	449
800	1799	447
801	1801	444
802	1804	442
803	1806	440
804	1808	438
805	1810	435
806	1812	433
807	1815	431
808	1817	428
809	1818	426
810	1820	424
811	1822	421
812	1824	419
813	1826	417
814	1828	415
815	1830	412
816	1832	410
817	1834	408
818	1836	405
819	1838	403
820	1840	401
821	1842	398
822	1844	396
823	1846	394
824	1848	392
825	1850	389
826	1851	387
827	1853	385
828	1856	382
829	1857	380
830	1859	378
831	1861	375
832	1863	373
833	1865	371
834	1867	369
835	1870	366
836	1873	364
837	1875	362
838	1877	360
839	1879	358
840	1881	355
841	1883	353
842	1885	351
843	1887	348
844	1889	346
845	1891	344
846	1893	342
847	1895	339
848	1897	337
849	1900	335
850	1902	333
851	1904	330
852	1906	328
853	1908	326
854	1910	323
855	1912	321
856	1914	319
857	1916	317
858	1918	314
859	1920	312
860	1923	310
861	1925	308
862	1927	305
863	1928	303
864	1930	301
865	1933	299
866	1935	296
867	1937	294
868	1939	292
869	1940	290
870	1942	287
871	1944	285
872	1946	283
873	1948	280
874	1950	278
875	1952	276
876	1954	274
877	1956	271
878	1958	269
879	1960	267
880	1961	264
881	1963	262
882	1965	260
883	1967	258
884	1969	255
885	1971	253
886	1973	251
887	1974	249
888	1976	246
889	1978	244
890	1981	242
891	1982	240
892	1984	237
893	1986	235
894	1988	233
895	1990	231
896	1992	228
897	1994	226
898	1996	224
899	1998	222
900	2000	219
901	2002	217
902	2003	215
903	2005	212
904	2007	210
905	2009	208
906	2011	206
907	2012	203
908	2014	201
909	2016	199
910	2018	197
911	2020	194
912	2022	192
913	2024	190
914	2026	188
915	2028	185
916	2029	183
917	2031	181
918	2033	179
919	2035	176
920	2037	174
921	2039	172
922	2041	170
923	2043	168
924	2044	165
925	2046	163
926	2048	161
927	2050	159
928	2052	156
929	2053	154
930	2055	152
931	2057	150
932	2060	147
933	2061	145
934	2063	143
935	2065	141
936	2067	138
937	2068	136
938	2070	134
939	2072	132
940	2074	130
941	2076	127
942	2078	125
943	2080	123
944	2082	121
945	2083	118
946	2085	116
947	2086	114
948	2089	112
949	2091	110
950	2093	107
951	2094	105
952	2096	103
953	2098	101
954	2099	98
955	2101	96
956	2103	94
957	2105	92
958	2107	90
959	2109	87
960	2111	85
961	2113	83
962	2115	81
963	2117	79
964	2118	76
965	2121	74
966	2123	72
967	2125	70
968	2127	68
969	2129	65
970	2131	63
971	2132	61
972	2134	59
973	2136	57
974	2138	54
975	2140	52
976	2142	50
977	2144	48
978	2145	46
979	2147	43
980	2149	41
981	2151	39
982	2153	37
983	2155	35
984	2157	32
985	2159	30
986	2161	28
987	2163	26
988	2165	24
989	2167	21
990	2169	19
991	2170	17
992	2172	15
993	2174	13
994	2176	10
995	2178	8
996	2180	6
997	2182	4
998	2184	2
999	2186	0
