iter	MAE
292	13261.14104
293	13253.64815
294	13247.26166
295	13235.60889
296	13227.93552
297	13218.67674
298	13214.10204
299	13211.58346
300	13205.90609
301	13199.23388
302	13189.40733
303	13180.98516
304	13173.19012
305	13167.81951
306	13163.1373
307	13158.3912
308	13152.22277
309	13141.11126
310	13128.16273
311	13122.47406
312	13113.67415
313	13110.32089
314	13096.57365
315	13087.32589
316	13074.08937
317	13070.31184
318	13064.07031
319	13060.52337
320	13053.023
321	13041.3553
322	13035.53018
323	13031.68738
324	13024.60729
325	13017.22435
326	13004.9142
327	12996.84122
328	12993.82197
329	12981.11788
330	12971.4857
331	12966.24268
332	12962.06179
333	12959.83927
334	12952.21164
335	12949.10083
336	12944.24984
337	12939.91862
338	12928.74778
339	12922.61489
340	12917.18411
341	12908.48849
342	12904.16528
343	12898.36517
344	12890.29833
345	12887.06999
346	12884.84354
347	12879.37905
348	12875.50513
349	12872.27408
350	12868.80099
351	12858.01412
352	12850.6723
353	12847.10032
354	12838.34087
355	12831.00993
356	12819.85206
357	12812.94861
358	12806.40175
359	12800.40827
360	12797.20262
361	12794.41981
362	12787.07996
363	12780.838
364	12772.04369
365	12766.07097
366	12761.85503
367	12757.27077
368	12750.50383
369	12743.45367
370	12732.94181
371	12726.95993
372	12718.75279
373	12713.75782
374	12704.0898
375	12698.86918
376	12696.51311
377	12690.37743
378	12685.93724
379	12679.15658
380	12675.4741
381	12671.58791
382	12668.40642
383	12659.60382
384	12656.7976
385	12649.00568
386	12644.77273
387	12640.90477
388	12631.76185
389	12626.30715
390	12623.75965
391	12615.21422
392	12610.90792
393	12606.00501
394	12600.43874
395	12592.05294
396	12588.03772
397	12581.1908
398	12576.68591
399	12573.39624
400	12569.40769
401	12563.08282
402	12558.94095
403	12551.65354
404	12547.65724
405	12542.6466
406	12535.16955
407	12533.0121
408	12524.90577
409	12519.44333
410	12516.78929
411	12512.20136
412	12507.2622
413	12502.51556
414	12497.29033
415	12492.49795
416	12486.90324
417	12478.06564
418	12476.41324
419	12473.84904
420	12466.31478
421	12461.57936
422	12457.816
423	12450.84465
424	12447.18482
425	12442.94665
426	12437.21156
427	12430.24716
428	12428.52251
429	12423.29649
430	12415.16872
431	12410.66328
432	12404.83918
433	12402.49239
434	12398.7346
435	12392.6763
436	12388.54221
437	12383.02742
438	12377.70404
439	12374.35465
440	12369.15196
441	12366.26532
442	12362.10902
443	12354.52531
444	12350.2557
445	12340.85258
446	12337.00873
447	12332.83019
448	12329.85372
449	12323.55738
450	12320.55232
451	12317.54523
452	12310.69721
453	12305.27664
454	12302.89042
455	12298.06626
456	12293.097
457	12289.05678
458	12286.67669
459	12282.44819
460	12277.63963
461	12273.60366
462	12269.40705
463	12263.37871
464	12260.98946
465	12256.91855
466	12253.75913
467	12250.74014
468	12244.65476
469	12238.7747
470	12232.02235
471	12230.36781
472	12225.54393
473	12218.99043
474	12215.24768
475	12212.08134
476	12206.54447
477	12203.62406
478	12200.7744
479	12200.27744
480	12195.4736
481	12192.03829
482	12190.09155
483	12184.67836
484	12179.02389
485	12173.76976
486	12168.79499
487	12164.55127
488	12163.52009
489	12161.74558
490	12157.13578
491	12154.6226
492	12150.44196
493	12145.43223
494	12139.56723
495	12137.33023
496	12132.83966
497	12128.44187
498	12126.25024
499	12122.75986
500	12120.02446
501	12117.19924
502	12109.80074
503	12103.67849
504	12096.59674
505	12092.82542
506	12087.87039
507	12085.25522
508	12081.9946
509	12075.78334
510	12072.82903
511	12067.17611
512	12063.31005
513	12060.20474
514	12056.78847
515	12050.54835
516	12046.32014
517	12040.0694
518	12036.33198
519	12033.91217
520	12030.19437
521	12027.75889
522	12024.59827
523	12021.92044
524	12019.46481
525	12016.9532
526	12013.45462
527	12009.52821
528	12005.81875
529	12001.3122
530	11999.18104
531	11994.43298
532	11992.79315
533	11988.19764
534	11984.65168
535	11978.62563
536	11973.90091
537	11971.00907
538	11968.38985
539	11966.92781
540	11965.73001
541	11962.86114
542	11959.50882
543	11957.30528
544	11952.8242
545	11951.27366
546	11950.19522
547	11946.55266
548	11942.61098
549	11938.50835
550	11937.42932
551	11936.1134
552	11930.92203
553	11929.19489
554	11924.9217
555	11923.33477
556	11921.29911
557	11916.64949
558	11913.58894
559	11911.51074
560	11905.18232
561	11901.45048
562	11900.70262
563	11895.37068
564	11891.1254
565	11890.03305
566	11885.24503
567	11883.82958
568	11880.54456
569	11877.3328
570	11873.29262
571	11869.15916
572	11865.14661
573	11863.48903
574	11857.88377
575	11855.21857
576	11852.48874
577	11846.75589
578	11843.15935
579	11839.4647
580	11836.81298
581	11833.2263
582	11831.9326
583	11830.31608
584	11827.0183
585	11824.32681
586	11821.50765
587	11819.00805
588	11815.6301
589	11814.03362
590	11811.42043
591	11808.45754
592	11804.13833
593	11801.44061
594	11798.9797
595	11794.63638
596	11792.83681
597	11790.23442
598	11786.32365
599	11778.65957
600	11776.31316
601	11775.21238
602	11771.72955
603	11765.99474
604	11763.94837
605	11761.66515
606	11760.51232
607	11757.02574
608	11752.80349
609	11749.4756
610	11745.61036
611	11742.98471
612	11738.36759
613	11733.228
614	11729.39584
615	11726.6296
616	11723.69031
617	11720.16497
618	11717.83565
619	11716.20144
620	11712.61353
621	11708.62086
622	11706.10844
623	11704.82922
624	11700.67869
625	11699.25771
626	11698.58876
627	11696.84661
628	11696.04318
629	11695.26385
630	11693.62131
631	11690.71068
632	11687.66785
633	11684.25367
634	11683.40735
635	11681.94239
636	11680.57181
637	11677.63083
638	11676.20187
639	11675.1162
640	11672.74794
641	11669.70914
642	11669.02881
643	11667.36981
644	11664.5537
645	11662.1945
646	11659.32894
647	11657.60032
648	11656.11701
649	11651.19631
650	11648.93065
651	11645.51984
652	11644.85264
653	11641.45659
654	11639.45124
655	11638.87373
656	11635.45754
657	11632.67092
658	11628.15762
659	11626.71249
660	11626.24322
661	11624.97936
662	11622.07317
663	11618.29063
664	11616.48056
665	11615.02597
666	11613.28252
667	11609.43321
668	11604.35595
669	11603.1329
670	11600.91303
671	11597.55404
672	11595.73612
673	11591.43151
674	11589.48105
675	11586.80708
676	11582.37791
677	11581.41848
678	11580.88435
679	11578.71955
